2025-12-24 14:54:10,494 - =====================Start Training=====================
2025-12-24 14:54:10,495 - config: resshift_v1_10x_hyper4
2025-12-24 14:54:10,495 - description: t=15, k=0.1, p=0.3
2025-12-24 14:54:10,495 - Epoch, Loss_train, Loss_val (K)
2025-12-25 03:22:52,989 - 130, 0.00003494, 0.4925
2025-12-25 03:28:38,181 - 131, 0.00003489, 0.4709
2025-12-25 03:34:23,899 - 132, 0.00003491, 0.5038
2025-12-25 03:40:09,088 - 133, 0.00003473, 0.4752
2025-12-25 03:45:54,312 - 134, 0.00003461, 0.4748
2025-12-25 03:51:39,961 - 135, 0.00003465, 0.4895
2025-12-25 03:57:25,244 - 136, 0.00003514, 0.4880
2025-12-25 04:03:10,293 - 137, 0.00003447, 0.4819
2025-12-25 04:08:55,615 - 138, 0.00003481, 0.4858
2025-12-25 04:14:40,565 - 139, 0.00003477, 0.4780
2025-12-25 04:20:25,917 - 140, 0.00003453, 0.4652
2025-12-25 04:26:11,375 - 141, 0.00003453, 0.4567
2025-12-25 04:31:56,841 - 142, 0.00003454, 0.4695
2025-12-25 04:37:42,007 - 143, 0.00003429, 0.4718
2025-12-25 04:43:27,364 - 144, 0.00003450, 0.4904
2025-12-25 04:49:12,579 - 145, 0.00003437, 0.4710
2025-12-25 04:54:57,190 - 146, 0.00003449, 0.4766
2025-12-25 05:00:42,292 - 147, 0.00003448, 0.4578
2025-12-25 05:06:27,639 - 148, 0.00003418, 0.5121
2025-12-25 05:12:12,934 - 149, 0.00003421, 0.4699
2025-12-25 05:17:58,104 - 150, 0.00003408, 0.4699
2025-12-25 05:23:43,306 - 151, 0.00003419, 0.4536
2025-12-25 05:29:29,051 - 152, 0.00003399, 0.4783
2025-12-25 05:35:14,396 - 153, 0.00003432, 0.4857
2025-12-25 05:40:59,693 - 154, 0.00003389, 0.4567
2025-12-25 05:46:45,165 - 155, 0.00003418, 0.4969
2025-12-25 05:52:30,401 - 156, 0.00003413, 0.4630
2025-12-25 05:58:15,673 - 157, 0.00003399, 0.4553
2025-12-25 06:04:00,835 - 158, 0.00003407, 0.4761
2025-12-25 06:09:46,033 - 159, 0.00003399, 0.4990
2025-12-25 06:15:31,681 - 160, 0.00003395, 0.4567
2025-12-25 06:21:16,798 - 161, 0.00003398, 0.5334
2025-12-25 06:27:01,928 - 162, 0.00003399, 0.4645
2025-12-25 06:32:46,855 - 163, 0.00003397, 0.4610
2025-12-25 06:38:32,209 - 164, 0.00003376, 0.4883
2025-12-25 06:44:17,455 - 165, 0.00003389, 0.4841
2025-12-25 06:50:02,631 - 166, 0.00003366, 0.4705
2025-12-25 06:55:47,764 - 167, 0.00003377, 0.4644
2025-12-25 07:01:32,965 - 168, 0.00003387, 0.4943
2025-12-25 07:07:18,163 - 169, 0.00003366, 0.4622
2025-12-25 07:13:03,259 - 170, 0.00003368, 0.4552
2025-12-25 07:18:48,453 - 171, 0.00003373, 0.4663
2025-12-25 07:18:48,454 - Training finished with early stopping, best loss_val = 0.4536 K
