2025-09-17 16:44:50,614 - =====================Start Training=====================
2025-09-17 16:44:50,614 - config: resshift_v1_20x
2025-09-17 16:44:50,614 - description: consine | time_step = 3 | 10x | use_gate = False | num_affine = 3
2025-09-17 16:44:50,614 - Epoch, Loss_train, RMSE_eval (K)
2025-09-18 08:05:31,249 - 246, 0.00002991, 0.7551
2025-09-18 08:09:17,337 - 247, 0.00003018, 0.7555
2025-09-18 08:13:01,404 - 248, 0.00002973, 0.7558
2025-09-18 08:16:45,413 - 249, 0.00002981, 0.7553
2025-09-18 08:20:28,838 - 250, 0.00002990, 0.7558
2025-09-18 08:24:12,713 - 251, 0.00002977, 0.7538
2025-09-18 08:27:58,960 - 252, 0.00002977, 0.7535
2025-09-18 08:31:43,290 - 253, 0.00003035, 0.7545
2025-09-18 08:35:28,125 - 254, 0.00002985, 0.7544
2025-09-18 08:39:11,570 - 255, 0.00002895, 0.7548
2025-09-18 08:42:55,656 - 256, 0.00003004, 0.7550
2025-09-18 08:46:40,687 - 257, 0.00002962, 0.7554
2025-09-18 08:50:24,278 - 258, 0.00003005, 0.7552
2025-09-18 08:54:09,877 - 259, 0.00002963, 0.7540
2025-09-18 08:57:53,449 - 260, 0.00002983, 0.7547
2025-09-18 09:01:37,351 - 261, 0.00002992, 0.7544
2025-09-18 09:05:20,583 - 262, 0.00002928, 0.7549
2025-09-18 09:09:03,675 - 263, 0.00002941, 0.7540
2025-09-18 09:12:50,027 - 264, 0.00002935, 0.7538
2025-09-18 09:16:33,820 - 265, 0.00002999, 0.7534
2025-09-18 09:20:18,897 - 266, 0.00002923, 0.7552
2025-09-18 09:24:02,849 - 267, 0.00002979, 0.7543
2025-09-18 09:27:46,324 - 268, 0.00002922, 0.7533
2025-09-18 09:31:31,666 - 269, 0.00002974, 0.7541
2025-09-18 09:35:15,269 - 270, 0.00002973, 0.7544
2025-09-18 09:39:00,833 - 271, 0.00003014, 0.7541
2025-09-18 09:42:44,671 - 272, 0.00002912, 0.7543
2025-09-18 09:46:28,348 - 273, 0.00002947, 0.7536
2025-09-18 09:50:12,797 - 274, 0.00002979, 0.7531
2025-09-18 09:53:56,871 - 275, 0.00002964, 0.7538
2025-09-18 09:57:42,921 - 276, 0.00002906, 0.7539
2025-09-18 10:01:26,678 - 277, 0.00002900, 0.7533
2025-09-18 10:05:11,972 - 278, 0.00002984, 0.7525
2025-09-18 10:08:56,322 - 279, 0.00002979, 0.7532
2025-09-18 10:12:40,220 - 280, 0.00002994, 0.7533
2025-09-18 10:16:25,957 - 281, 0.00002986, 0.7536
2025-09-18 10:20:10,098 - 282, 0.00002958, 0.7535
2025-09-18 10:23:57,080 - 283, 0.00002934, 0.7534
2025-09-18 10:27:48,544 - 284, 0.00003018, 0.7540
2025-09-18 10:31:37,823 - 285, 0.00002912, 0.7535
2025-09-18 10:35:28,679 - 286, 0.00002936, 0.7531
2025-09-18 10:39:15,949 - 287, 0.00002970, 0.7535
2025-09-18 10:43:04,026 - 288, 0.00002940, 0.7533
2025-09-18 10:46:50,992 - 289, 0.00002918, 0.7534
2025-09-18 10:50:37,730 - 290, 0.00002965, 0.7532
2025-09-18 10:54:25,648 - 291, 0.00002957, 0.7533
2025-09-18 10:58:12,481 - 292, 0.00002941, 0.7531
2025-09-18 11:01:54,709 - 293, 0.00002955, 0.7530
2025-09-18 11:05:33,223 - 294, 0.00002973, 0.7530
2025-09-18 11:09:16,649 - 295, 0.00002971, 0.7534
2025-09-18 11:13:00,789 - 296, 0.00002925, 0.7527
2025-09-18 11:16:46,401 - 297, 0.00003001, 0.7531
2025-09-18 11:20:31,867 - 298, 0.00002882, 0.7525
2025-09-18 11:20:31,868 - Training finished with early stopping, best rmse_val = 0.7525 K
2026-03-06 16:38:14,765 - Refreshing credentials due to a 401 response. Attempt 1/2.
