2025-12-22 10:40:15,046 - =====================Start Training=====================
2025-12-22 10:40:15,046 - config: resshift_v1_10x_hyper1
2025-12-22 10:40:15,047 - description: t=3, sqrt_etas=[0.05, 0.6, 0.99], kappa=0.05
2025-12-22 10:40:15,047 - Epoch, Loss_train, Loss_val (K)
2025-12-22 20:40:30,809 - 161, 0.00002724, 0.3931
2025-12-22 20:44:14,212 - 162, 0.00002724, 0.3961
2025-12-22 20:47:59,467 - 163, 0.00002712, 0.3898
2025-12-22 20:51:42,920 - 164, 0.00002695, 0.3892
2025-12-22 20:55:27,097 - 165, 0.00002702, 0.3905
2025-12-22 20:59:10,325 - 166, 0.00002668, 0.3933
2025-12-22 21:02:53,658 - 167, 0.00002667, 0.3883
2025-12-22 21:06:39,647 - 168, 0.00002693, 0.3888
2025-12-22 21:10:22,868 - 169, 0.00002682, 0.3868
2025-12-22 21:14:08,470 - 170, 0.00002683, 0.3870
2025-12-22 21:17:50,940 - 171, 0.00002696, 0.3875
2025-12-22 21:21:34,015 - 172, 0.00002693, 0.3879
2025-12-22 21:25:17,621 - 173, 0.00002660, 0.3843
2025-12-22 21:29:01,081 - 174, 0.00002666, 0.3877
2025-12-22 21:32:46,208 - 175, 0.00002696, 0.3823
2025-12-22 21:36:29,578 - 176, 0.00002670, 0.3862
2025-12-22 21:40:14,678 - 177, 0.00002674, 0.3859
2025-12-22 21:43:58,346 - 178, 0.00002619, 0.3886
2025-12-22 21:47:41,559 - 179, 0.00002667, 0.3891
2025-12-22 21:51:26,159 - 180, 0.00002603, 0.3898
2025-12-22 21:55:09,412 - 181, 0.00002650, 0.3855
2025-12-22 21:58:54,200 - 182, 0.00002636, 0.3856
2025-12-22 22:02:37,287 - 183, 0.00002658, 0.3827
2025-12-22 22:06:21,844 - 184, 0.00002657, 0.3829
2025-12-22 22:10:05,352 - 185, 0.00002673, 0.3864
2025-12-22 22:13:48,595 - 186, 0.00002656, 0.3820
2025-12-22 22:17:33,969 - 187, 0.00002666, 0.3834
2025-12-22 22:21:16,979 - 188, 0.00002626, 0.3863
2025-12-22 22:25:02,424 - 189, 0.00002634, 0.3796
2025-12-22 22:28:45,455 - 190, 0.00002620, 0.3858
2025-12-22 22:32:28,341 - 191, 0.00002653, 0.3853
2025-12-22 22:36:11,922 - 192, 0.00002632, 0.3837
2025-12-22 22:39:55,263 - 193, 0.00002636, 0.3802
2025-12-22 22:43:39,847 - 194, 0.00002617, 0.3812
2025-12-22 22:47:23,724 - 195, 0.00002578, 0.3900
2025-12-22 22:51:07,459 - 196, 0.00002611, 0.3818
2025-12-22 22:54:51,040 - 197, 0.00002616, 0.3824
2025-12-22 22:58:34,477 - 198, 0.00002605, 0.3815
2025-12-22 23:02:18,250 - 199, 0.00002611, 0.3788
2025-12-22 23:06:02,532 - 200, 0.00002597, 0.3833
2025-12-22 23:09:47,753 - 201, 0.00002640, 0.3820
2025-12-22 23:13:30,418 - 202, 0.00002639, 0.3799
2025-12-22 23:17:15,076 - 203, 0.00002640, 0.3789
2025-12-22 23:20:57,997 - 204, 0.00002622, 0.3809
2025-12-22 23:24:41,398 - 205, 0.00002630, 0.3790
2025-12-22 23:28:26,390 - 206, 0.00002612, 0.3778
2025-12-22 23:32:09,665 - 207, 0.00002605, 0.3810
2025-12-22 23:35:54,793 - 208, 0.00002589, 0.3795
2025-12-22 23:39:37,978 - 209, 0.00002603, 0.3794
2025-12-22 23:43:21,602 - 210, 0.00002584, 0.3789
2025-12-22 23:47:05,334 - 211, 0.00002590, 0.3798
2025-12-22 23:50:48,501 - 212, 0.00002603, 0.3783
2025-12-22 23:54:33,266 - 213, 0.00002590, 0.3798
2025-12-22 23:58:16,640 - 214, 0.00002627, 0.3768
2025-12-23 00:02:01,709 - 215, 0.00002627, 0.3796
2025-12-23 00:05:44,838 - 216, 0.00002604, 0.3809
2025-12-23 00:09:28,111 - 217, 0.00002565, 0.3770
2025-12-23 00:13:13,658 - 218, 0.00002586, 0.3774
2025-12-23 00:16:56,915 - 219, 0.00002610, 0.3794
2025-12-23 00:20:42,368 - 220, 0.00002603, 0.3773
2025-12-23 00:24:25,625 - 221, 0.00002594, 0.3737
2025-12-23 00:28:09,324 - 222, 0.00002616, 0.3777
2025-12-23 00:31:52,632 - 223, 0.00002599, 0.3803
2025-12-23 00:35:35,810 - 224, 0.00002568, 0.3762
2025-12-23 00:39:20,261 - 225, 0.00002604, 0.3773
2025-12-23 00:43:03,676 - 226, 0.00002608, 0.3791
2025-12-23 00:46:48,565 - 227, 0.00002606, 0.3749
2025-12-23 00:50:31,047 - 228, 0.00002580, 0.3779
2025-12-23 00:54:13,754 - 229, 0.00002591, 0.3769
2025-12-23 00:57:57,635 - 230, 0.00002593, 0.3758
2025-12-23 01:01:41,203 - 231, 0.00002595, 0.3748
2025-12-23 01:05:26,808 - 232, 0.00002572, 0.3747
2025-12-23 01:09:09,785 - 233, 0.00002548, 0.3743
2025-12-23 01:12:54,667 - 234, 0.00002606, 0.3780
2025-12-23 01:16:38,279 - 235, 0.00002611, 0.3729
2025-12-23 01:20:21,730 - 236, 0.00002540, 0.3731
2025-12-23 01:24:06,485 - 237, 0.00002590, 0.3738
2025-12-23 01:27:50,194 - 238, 0.00002586, 0.3746
2025-12-23 01:31:35,675 - 239, 0.00002551, 0.3761
2025-12-23 01:35:19,001 - 240, 0.00002545, 0.3754
2025-12-23 01:39:02,327 - 241, 0.00002597, 0.3746
2025-12-23 01:42:45,400 - 242, 0.00002572, 0.3738
2025-12-23 01:46:28,851 - 243, 0.00002552, 0.3729
2025-12-23 01:50:14,246 - 244, 0.00002551, 0.3762
2025-12-23 01:53:57,308 - 245, 0.00002569, 0.3731
2025-12-23 01:57:42,361 - 246, 0.00002578, 0.3745
2025-12-23 02:01:25,343 - 247, 0.00002588, 0.3739
2025-12-23 02:05:08,336 - 248, 0.00002539, 0.3741
2025-12-23 02:08:51,767 - 249, 0.00002569, 0.3724
2025-12-23 02:12:35,219 - 250, 0.00002558, 0.3764
2025-12-23 02:16:20,904 - 251, 0.00002562, 0.3723
2025-12-23 02:20:04,507 - 252, 0.00002568, 0.3735
2025-12-23 02:23:49,228 - 253, 0.00002598, 0.3738
2025-12-23 02:27:32,531 - 254, 0.00002568, 0.3737
2025-12-23 02:31:15,774 - 255, 0.00002502, 0.3730
2025-12-23 02:35:00,847 - 256, 0.00002572, 0.3745
