2025-10-15 16:05:14,657 - =====================Start Training=====================
2025-10-15 16:05:14,657 - config: resshift_10x_ch8
2025-10-15 16:05:14,657 - description: ch_base = 8
2025-10-15 16:05:14,658 - Epoch, Loss_train, Loss_val (K)
2025-10-15 21:07:37,306 - 150, 0.00003375, 0.6446
2025-10-15 21:09:37,890 - 151, 0.00003513, 0.6466
2025-10-15 21:11:38,311 - 152, 0.00003433, 0.6403
2025-10-15 21:13:38,019 - 153, 0.00003394, 0.6448
2025-10-15 21:15:38,807 - 154, 0.00003395, 0.6487
2025-10-15 21:17:38,503 - 155, 0.00003461, 0.6414
2025-10-15 21:19:39,754 - 156, 0.00003438, 0.6594
2025-10-15 21:21:39,152 - 157, 0.00003426, 0.6399
2025-10-15 21:23:40,089 - 158, 0.00003420, 0.6454
2025-10-15 21:25:39,532 - 159, 0.00003321, 0.6396
2025-10-15 21:27:37,789 - 160, 0.00003433, 0.6856
2025-10-15 21:29:36,955 - 161, 0.00003338, 0.6373
2025-10-15 21:31:38,387 - 162, 0.00003453, 0.6371
2025-10-15 21:33:38,173 - 163, 0.00003385, 0.6393
2025-10-15 21:35:38,586 - 164, 0.00003376, 0.6380
2025-10-15 21:37:39,032 - 165, 0.00003399, 0.6382
2025-10-15 21:39:40,630 - 166, 0.00003368, 0.6353
2025-10-15 21:41:41,645 - 167, 0.00003358, 0.6410
2025-10-15 21:43:41,509 - 168, 0.00003369, 0.6566
2025-10-15 21:45:42,608 - 169, 0.00003315, 0.6407
2025-10-15 21:47:42,819 - 170, 0.00003340, 0.6290
2025-10-15 21:49:44,130 - 171, 0.00003318, 0.6395
2025-10-15 21:51:45,268 - 172, 0.00003466, 0.6421
2025-10-15 21:53:47,510 - 173, 0.00003320, 0.6335
2025-10-15 21:55:48,278 - 174, 0.00003328, 0.6419
2025-10-15 21:57:50,036 - 175, 0.00003380, 0.6346
2025-10-15 21:59:51,472 - 176, 0.00003326, 0.6305
2025-10-15 22:01:53,331 - 177, 0.00003309, 0.6365
2025-10-15 22:03:53,990 - 178, 0.00003342, 0.6285
2025-10-15 22:05:54,351 - 179, 0.00003363, 0.6388
2025-10-15 22:07:53,073 - 180, 0.00003394, 0.6329
2025-10-15 22:09:52,188 - 181, 0.00003427, 0.6271
2025-10-15 22:11:52,467 - 182, 0.00003398, 0.6304
2025-10-15 22:13:53,441 - 183, 0.00003338, 0.6329
2025-10-15 22:15:54,245 - 184, 0.00003315, 0.6293
2025-10-15 22:17:55,864 - 185, 0.00003257, 0.6320
2025-10-15 22:19:56,276 - 186, 0.00003346, 0.6410
2025-10-15 22:21:58,560 - 187, 0.00003324, 0.6282
2025-10-15 22:23:59,211 - 188, 0.00003283, 0.6294
2025-10-15 22:26:01,761 - 189, 0.00003356, 0.6275
2025-10-15 22:28:02,065 - 190, 0.00003342, 0.6312
2025-10-15 22:30:04,059 - 191, 0.00003304, 0.6261
2025-10-15 22:32:04,772 - 192, 0.00003301, 0.6268
2025-10-15 22:34:05,916 - 193, 0.00003339, 0.6260
2025-10-15 22:36:07,082 - 194, 0.00003283, 0.6264
2025-10-15 22:38:09,027 - 195, 0.00003309, 0.6234
2025-10-15 22:40:08,685 - 196, 0.00003296, 0.6212
2025-10-15 22:42:08,738 - 197, 0.00003307, 0.6265
2025-10-15 22:44:07,784 - 198, 0.00003296, 0.6259
2025-10-15 22:46:08,649 - 199, 0.00003303, 0.6252
2025-10-15 22:48:07,914 - 200, 0.00003214, 0.6231
2025-10-15 22:50:07,111 - 201, 0.00003317, 0.6265
2025-10-15 22:52:05,747 - 202, 0.00003341, 0.6403
2025-10-15 22:54:07,423 - 203, 0.00003315, 0.6303
2025-10-15 22:56:07,572 - 204, 0.00003329, 0.6198
2025-10-15 22:58:08,703 - 205, 0.00003248, 0.6198
2025-10-15 23:00:08,963 - 206, 0.00003273, 0.6191
2025-10-15 23:02:10,369 - 207, 0.00003257, 0.6243
2025-10-15 23:04:10,477 - 208, 0.00003231, 0.6201
2025-10-15 23:06:11,783 - 209, 0.00003296, 0.6265
2025-10-15 23:08:13,263 - 210, 0.00003329, 0.6189
2025-10-15 23:10:13,931 - 211, 0.00003283, 0.6205
2025-10-15 23:12:15,414 - 212, 0.00003325, 0.6243
2025-10-15 23:14:14,924 - 213, 0.00003288, 0.6195
2025-10-15 23:16:16,324 - 214, 0.00003297, 0.6198
2025-10-15 23:18:16,490 - 215, 0.00003266, 0.6181
2025-10-15 23:20:17,629 - 216, 0.00003352, 0.6214
2025-10-15 23:22:18,638 - 217, 0.00003276, 0.6212
2025-10-15 23:24:20,174 - 218, 0.00003278, 0.6206
2025-10-15 23:26:20,486 - 219, 0.00003239, 0.6222
2025-10-15 23:28:21,013 - 220, 0.00003286, 0.6181
2025-10-15 23:30:20,086 - 221, 0.00003253, 0.6210
2025-10-15 23:32:20,261 - 222, 0.00003284, 0.6197
2025-10-15 23:34:20,281 - 223, 0.00003266, 0.6171
2025-10-15 23:36:22,094 - 224, 0.00003315, 0.6184
2025-10-15 23:38:22,563 - 225, 0.00003262, 0.6184
2025-10-15 23:40:24,317 - 226, 0.00003216, 0.6174
2025-10-15 23:42:25,148 - 227, 0.00003268, 0.6132
2025-10-15 23:44:26,910 - 228, 0.00003327, 0.6193
2025-10-15 23:46:27,322 - 229, 0.00003280, 0.6178
2025-10-15 23:48:27,827 - 230, 0.00003266, 0.6154
