2025-09-12 10:14:42,002 - =====================Start Training=====================
2025-09-12 10:14:42,003 - config: mocolsk_v0_10x
2025-09-12 10:14:42,003 - description: mocolsk | 10x | ch=32
2025-09-12 21:23:33,793 - Epoch 131: train_loss = 0.00004743, rmse_val = 0.6797 K
2025-09-12 21:28:37,966 - Epoch 132: train_loss = 0.00004724, rmse_val = 0.6804 K
2025-09-12 21:33:41,912 - Epoch 133: train_loss = 0.00004721, rmse_val = 0.6751 K
2025-09-12 21:38:47,278 - Epoch 134: train_loss = 0.00004716, rmse_val = 0.6790 K
2025-09-12 21:43:51,364 - Epoch 135: train_loss = 0.00004703, rmse_val = 0.6829 K
2025-09-12 21:48:55,191 - Epoch 136: train_loss = 0.00004696, rmse_val = 0.6786 K
2025-09-12 21:53:59,893 - Epoch 137: train_loss = 0.00004687, rmse_val = 0.6806 K
2025-09-12 21:59:04,305 - Epoch 138: train_loss = 0.00004677, rmse_val = 0.6804 K
2025-09-12 22:04:07,464 - Epoch 139: train_loss = 0.00004674, rmse_val = 0.6806 K
2025-09-12 22:09:11,771 - Epoch 140: train_loss = 0.00004661, rmse_val = 0.6744 K
2025-09-12 22:14:16,935 - Epoch 141: train_loss = 0.00004658, rmse_val = 0.6793 K
2025-09-12 22:19:20,872 - Epoch 142: train_loss = 0.00004644, rmse_val = 0.6744 K
2025-09-12 22:24:24,727 - Epoch 143: train_loss = 0.00004640, rmse_val = 0.6771 K
2025-09-12 22:29:30,273 - Epoch 144: train_loss = 0.00004615, rmse_val = 0.6769 K
2025-09-12 22:34:34,443 - Epoch 145: train_loss = 0.00004618, rmse_val = 0.6780 K
2025-09-12 22:39:38,415 - Epoch 146: train_loss = 0.00004607, rmse_val = 0.6802 K
2025-09-12 22:44:42,996 - Epoch 147: train_loss = 0.00004610, rmse_val = 0.6764 K
2025-09-12 22:49:47,621 - Epoch 148: train_loss = 0.00004587, rmse_val = 0.6774 K
2025-09-12 22:54:51,405 - Epoch 149: train_loss = 0.00004584, rmse_val = 0.6772 K
2025-09-12 22:59:55,876 - Epoch 150: train_loss = 0.00004576, rmse_val = 0.6757 K
2025-09-12 23:05:00,929 - Epoch 151: train_loss = 0.00004564, rmse_val = 0.6755 K
2025-09-12 23:10:05,161 - Epoch 152: train_loss = 0.00004553, rmse_val = 0.6846 K
2025-09-12 23:15:09,162 - Epoch 153: train_loss = 0.00004553, rmse_val = 0.6794 K
2025-09-12 23:20:14,113 - Epoch 154: train_loss = 0.00004536, rmse_val = 0.6768 K
2025-09-12 23:25:18,175 - Epoch 155: train_loss = 0.00004536, rmse_val = 0.6808 K
2025-09-12 23:30:22,361 - Epoch 156: train_loss = 0.00004530, rmse_val = 0.6765 K
2025-09-12 23:35:27,186 - Epoch 157: train_loss = 0.00004524, rmse_val = 0.6765 K
2025-09-12 23:40:31,977 - Epoch 158: train_loss = 0.00004520, rmse_val = 0.6765 K
2025-09-12 23:45:35,850 - Epoch 159: train_loss = 0.00004507, rmse_val = 0.6741 K
2025-09-12 23:50:39,961 - Epoch 160: train_loss = 0.00004493, rmse_val = 0.6746 K
2025-09-12 23:55:44,864 - Epoch 161: train_loss = 0.00004490, rmse_val = 0.6785 K
2025-09-13 00:00:48,919 - Epoch 162: train_loss = 0.00004485, rmse_val = 0.6768 K
2025-09-13 00:05:52,496 - Epoch 163: train_loss = 0.00004481, rmse_val = 0.6754 K
2025-09-13 00:10:57,013 - Epoch 164: train_loss = 0.00004465, rmse_val = 0.6764 K
2025-09-13 00:16:01,658 - Epoch 165: train_loss = 0.00004466, rmse_val = 0.6769 K
2025-09-13 00:21:05,496 - Epoch 166: train_loss = 0.00004456, rmse_val = 0.6778 K
2025-09-13 00:26:09,287 - Epoch 167: train_loss = 0.00004449, rmse_val = 0.6767 K
2025-09-13 00:31:14,434 - Epoch 168: train_loss = 0.00004443, rmse_val = 0.6775 K
